key	accuracy	ammo	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	dismounted_melee_defense	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_animals	animal	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	num_guns	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	chariot	num_chariots	reload	loose_spacing	spotting_and_hiding	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power
#land_units_tables;30;db/land_units_tables/919_land_units																																																			
cha_avar_guard	0	2	cha_lamellar_heavy	2500	cavalry	114	cav_shk	64	57	26	cha_avar_guard	rome_man_lance_sword_bow_reflex_horse	cha_infantry_very_heavy	49	11	54	0	cha_nom_horse_lance_h	0		80	cha_lance_elite	att_bow_reflex_horse	5	cha_none	cha_avar_guard	cav_melee	mob	false	elite	0	cha_avar_cavalry_officer			true	50.0000	900.0000	0.0000	att_heavy_cavalry_missile_fire_move_disciplined_encourages	30.0000	60.0000		0	55	true		selected_avar_horde	selected_cavalry	selected_generic	1.2500	10.0000
cha_avar_horse_masters	25	25	cha_lamellar_heavy	2500	cavalry	16	cav_mis	6	16	11	cha_avar_horse_masters	rome_man_sword_bow_reflex_horse	cha_infantry_heavy	37	11	51	0	cha_nom_horse_sword_h	0		80	att_sword	att_bow_reflex_elite	5	cha_none	cha_avar_horse_masters	cav_melee	mob	false	elite	0	cha_avar_cavalry_officer			true	50.0000	900.0000	0.0000	att_heavy_cavalry_missile_fire_move_parthian_disciplined_encourages	30.0000	60.0000		0	75	true		selected_cavalry_missile	selected_cavalry	selected_avar_horde	1.2500	10.0000
cha_avar_lancers	0	2	cha_cloth_helmet	2500	cavalry	107	cav_shk	57	47	22	cha_avar_lancers	rome_man_lance_sword_bow_reflex_horse	cha_infantry_light	37	2	34	0	cha_nom_horse_lance_l	0		80	cha_lance	att_bow_reflex_horse	5	cha_none	cha_avar_lancers	cav_melee	mob	false	poorly_trained	0	cha_avar_cavalry_officer			true	50.0000	900.0000	0.0000	att_heavy_cavalry_missile_fire_move	30.0000	60.0000		0	25	true		selected_hunnic_lancers	selected_avar_horde	selected_cavalry	1.2500	10.0000
cha_avar_noble_archers	25	25	cha_iron_lamellar	2500	cavalry	16	cav_mis	6	16	11	cha_avar_noble_archers	rome_man_sword_bow_reflex_horse	cha_infantry_heavy	32	11	51	0	cha_nom_horse_sword_m	0		80	att_sword	att_bow_reflex_horse	5	cha_none	cha_avar_noble_archers	cav_melee	mob	false	elite	0	cha_avar_cavalry_officer			true	50.0000	900.0000	0.0000	att_heavy_cavalry_missile_fire_move_parthian_disciplined	30.0000	60.0000		0	75	true		selected_noble_horse_archers	selected_cavalry	selected_inf_missile	1.2500	10.0000
cha_avar_noble_lancers	0	2	cha_lamellar_heavy	2500	cavalry	112	cav_shk	62	55	25	cha_avar_noble_lancers	rome_man_lance_sword_bow_reflex_horse	cha_infantry_very_heavy	45	10	54	0	cha_nom_horse_lance_h	0		80	cha_lance	att_bow_reflex_horse	5	cha_none	cha_avar_noble_lancers	cav_melee	mob	false	elite	0	cha_avar_cavalry_officer			true	50.0000	900.0000	0.0000	att_heavy_cavalry_missile_fire_move_disciplined	30.0000	60.0000		0	25	true		selected_hunnic_lancers	selected_avar_horde	selected_generic	1.2500	10.0000
cha_avar_tribesmen	0	17	cha_iron_lamellar	1800	inf_ranged	32	inf_mis	27	27	27	cha_avar_tribesmen	rome_man_spear_2h_reflex_bow_foot	cha_infantry_medium	30	27	36	0		0		0	att_spear	cha_reflex	8	cha_none	cha_avar_tribesmen	missile_inf	mob	false	poorly_trained	0	cha_avar_infantry_officer			true	50.0000	750.0000	0.0000	att_heavy_charge_reflect	30.0000	60.0000		0	30	true		selected_inf_spearmen	selected_avar_horde	selected_generic	1.0000	10.0000
cha_bre_armorican_cav	25	3	cha_mail_long	2500	cavalry	43	cav_mel	24	49	11	cha_bre_armorican_cav	rome_man_sword_shield_javelin_horse	cha_infantry_heavy	37	5	51	0	cha_ger_horse_sword_h	0		80	cha_spatha_heavy	att_javelin_heavy	5	cha_round	cha_bre_armorican_cav	cav_melee	mob	false	well_trained	0	cha_gen_cavalry_officer			true	50.0000	900.0000	0.0000	att_heavy_cavalry_missile_fire_move_parthian	30.0000	60.0000		0	25	true		selected_cavalry_missile	selected_javelinmen	selected_generic	1.2500	10.0000
cha_bre_armorican_knights	25	3	cha_mail_long	2500	cavalry	45	cav_mel	24	51	12	cha_bre_armorican_knights	rome_man_sword_shield_javelin_horse	cha_infantry_heavy	39	7	51	0	cha_ger_horse_sword_h	0		80	cha_spatha_heavy	att_javelin_heavy	5	cha_kite	cha_bre_armorican_knights	cav_melee	mob	false	well_trained	0	cha_gen_cavalry_officer			true	50.0000	900.0000	0.0000	att_heavy_cavalry_missile_fire_move_parthian	30.0000	60.0000		0	25	true		selected_cavalry_missile	selected_javelinmen	selected_generic	1.2500	10.0000
cha_byz_archers	25	14	cha_cloth_helmet	1800	inf_ranged	2	inf_mis	2	7	2	cha_byz_archers	rome_man_sword_bow_composite_horse	cha_infantry_very_light	7	2	28	0		0		0	cha_dagger	att_bow	5	cha_none	cha_byz_archers	missile_inf	mob	false	poorly_trained	0	cha_byz_infantry_officer			true	50.0000	750.0000	0.0000	att_light	30.0000	60.0000		0	40	true		selected_archers	selected_bowmen	selected_inf_missile	1.0000	10.0000
cha_byz_armoured_archers	25	15	cha_mail	1800	inf_ranged	2	inf_mis	2	7	2	cha_byz_armoured_archers	rome_man_sword_bow_composite_horse	cha_infantry_medium	7	2	28	0		0		0	cha_dagger	att_bow_composite	5	cha_none	cha_byz_armoured_archers	missile_inf	mob	false	poorly_trained	0	cha_byz_infantry_officer			true	50.0000	750.0000	0.0000	att_light	30.0000	60.0000		0	40	true		selected_archers	selected_bowmen	selected_inf_missile	1.0000	10.0000
