key	accuracy	ammo	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	dismounted_melee_defence	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_animals	animal	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_weaknesses_text	supports_first_person	training_level	num_guns	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	chariot	num_chariots	reload	loose_spacing	spotting_and_hiding	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power
#land_units_tables;30;db/land_units_tables/land_units																																																			
att_alan_alani_cavalry_raiders	0	8	att_cloth	3240	cavalry	30	cav_mis	0	0	0	att_alan_alani_cavalry_raiders_long	rome_man_sword_shield_javelin_horse	att_infantry_light	19	12	44	0	att_alan_alani_cavalry_raiders	0		80	att_sword	att_javelin_heavy	2	att_round_small	att_alan_alani_cavalry_raiders_short	missile_cav	mob	false	trained	0	att_alan_cavarly_officer			true	50.0000	750.0000	0.0000	att_light_parthian_raider_ignore_terrain_deploy	30.0000	60.0000		0	0	true		selected_cavalry_missile	selected_cavalry	selected_generic	1.0000	10.0000
att_alan_alani_cavalry_warriors	0	0	att_leather	3240	cavalry	45	cav_mel	20	45	7	att_alan_alani_cavalry_warriors_long	rome_man_spear_shield_javelin_precursor_horse	att_infantry_light	45	7	40	0	att_alan_alani_cavalry_warriors	0		80	att_spear_heavy		5	att_oval_large	att_alan_alani_cavalry_warriors_short	cav_melee	mob	false	elite	0	att_alan_cavarly_officer			true	50.0000	750.0000	0.0000	att_heavy_raider_deploy_fatigue	30.0000	60.0000		0	0	true		selected_cavalry_melee	selected_cavalry	selected_generic	1.0000	10.0000
att_alan_alani_chosen_raiders	0	12	att_leather_heavy	3240	cavalry	68	cav_mis	68	20	40	att_alan_alani_chosen_raiders_long	rome_man_sword_shield_javelin_horse	att_infantry_medium	20	18	90	0	att_alan_alani_chosen_raiders	0		80	att_sword	att_javelin_heavy	2	att_oval_large	att_alan_alani_chosen_raiders_short	missile_cav	mob	false	elite	0	att_alan_cavarly_officer			true	50.0000	750.0000	0.0000	att_scout_cavalry_missile_parthian_raider	30.0000	60.0000		0	0	true		selected_cavalry_missile	selected_cavalry	selected_generic	1.0000	10.0000
att_alan_alani_horse_archers	0	24	att_leather_heavy	3240	cavalry	15	cav_mis	15	15	15	att_alan_alani_horse_archers_long	rome_man_sword_bow_composite_horse	att_infantry_light	15	20	40	0	att_alan_alani_horse_archers	0		80	att_sword	att_bow_composite_horse	5	att_none	att_alan_alani_horse_archers_short	missile_cav	mob	false	trained	0	att_alan_cavarly_officer			true	50.0000	750.0000	0.0000	att_heavy_cavalry_missile_fire_move_parthian	200.0000	200.0000		0	60	true		selected_cavalry_missile	selected_cavalry	selected_generic	1.0000	10.0000
att_alan_alani_mounted_bows	0	24	att_cloth	3240	cavalry	18	cav_mis	1	11	7	att_alan_alani_mounted_bows_long	rome_man_sword_bow_composite_horse	att_infantry_light	11	7	40	5	att_alan_alani_mounted_bows	0		80	att_dagger	att_bow_composite_horse	5	att_none	att_alan_alani_mounted_bows_short	missile_cav	mob	false	poorly_trained	0	att_alan_cavarly_officer			true	50.0000	750.0000	0.0000	att_light_cavalry_missile_fire_move_parthian	30.0000	60.0000		0	50	true		selected_cavalry_missile	selected_cavalry	selected_generic	1.0000	10.0000
att_alan_alani_mounted_sword_raiders	0	12	att_leather	3240	cavalry	50	cav_mis	0	14	30	att_alan_alani_mounted_sword_raiders_long	rome_man_sword_shield_javelin_horse	att_infantry_medium	14	15	40	0	att_alan_alani_mounted_sword_raiders	0		80	att_sword	att_javelin	2	att_round_small	att_alan_alani_mounted_sword_raiders_short	missile_cav	mob	false	trained	0	att_alan_cavarly_officer			true	60.0000	300.0000	0.0000	att_scout_cavalry_missile_parthian_raider	30.0000	60.0000		0	0	true		selected_cavalry_missile	selected_cavalry	selected_generic	1.0000	10.0000
att_alan_alani_nobles_general	0	0	att_scale	3240	cavalry	160	cav_shk	12	12	0	att_alan_alani_nobles_general_long	rome_man_lance_sword_shield_javelin_precursor_horse	att_infantry_medium	15	8	40	0	att_alan_sarmatian_cataphracts_general	0		80	att_lance_elite		5	att_round	att_alan_alani_nobles_general_short	cav_melee	mob	false	well_trained	0	att_alan_cavarly_officer			true	50.0000	750.0000	0.0000	att_heavy_disciplined_encourages	30.0000	60.0000		0	0	true		selected_cavalry_shock	selected_cavalry	selected_generic	1.0000	10.0000
att_alan_alani_swordsmen	0	0	att_scale	3240	inf_melee	44	inf_mel	0	0	0	att_alan_alani_swordsmen_long	rome_man_sword_shield_javelin_precursor_horse	att_infantry_medium	36	16	40	0		0		0	att_sword		8	att_round	att_alan_alani_swordsmen_short	melee_inf_barb	mob	false	well_trained	0	att_alan_infantry_officer			true	60.0000	300.0000	0.0000	att_light	200.0000	200.0000		0	0	true		selected_inf_melee	selected_swordsmen	selected_generic	1.0000	10.0000
att_alan_alani_warriors	0	0	att_leather	3240	inf_melee	23	inf_mel	23	20	35	att_alan_alani_warriors_long	rome_man_sword_shield_javelin_precursor_horse	att_infantry_medium	20	35	40	0		0		0	att_sword		8	att_oval_large	att_alan_alani_warriors_short	melee_inf_barb	mob	false	trained	0	att_alan_infantry_officer			true	60.0000	300.0000	0.0000	att_light	30.0000	60.0000		0	0	true		selected_inf_melee	selected_swordsmen	selected_generic	1.0000	10.0000
